Model Name,Reference Price (Yuan),Brand,Model,Production Method,Origin,Engine,Max Horsepower (Ps),Max Power/Speed (kW/rpm),Transmission,ABS,CBS,Dimensions (LxWxH mm),Seat Height (mm),Curb Weight (kg),Fuel Tank Capacity (L),Max Speed (km/h),Official Average Fuel Consumption (L/100km),Range (km),Available Colors,Max Horsepower (Ps)_is_imputed,Seat Height (mm)_is_imputed,Curb Weight (kg)_is_imputed,Fuel Tank Capacity (L)_is_imputed,Max Speed (km/h)_is_imputed
九号 电动B系,6099,Not Specified,Pedal,domestic,Not Specified,Not Specified,0.5,0.4/,Not Specified,none,xx(mm),Not Specified,770.0,130.0,9.0,25.0,Not Specified,80,"white gray, gray red, yellow gray, black gray",False,True,True,True,False
九号 SEGWAY XYBER,9999,Not Specified,Off road,Domestic,Not Specified,Not Specified,0.5,0.4/,Not Specified,Not specified,Not specified,1880x705x1085,770.0,130.0,9.0,25.0,Not Specified,150,Not Specified,False,True,True,True,False
九号 电动V系,2899,Not Specified,Pedal,domestic,Not Specified,Not Specified,0.5,0.4/,Not Specified,Not specified,Not specified,1550x650x1095,723.0,130.0,9.0,25.0,Not Specified,50,"Gardenia Green, Vitality Orange, Dark Grey, Mustard Green",False,False,True,True,False
九号 Segway APEX H2,Currently no quotation available,number,Sports car,domestic production,Not Specified,Not Specified,12.6,Not Specified,Not Specified,Not specified,Not specified,Not Specified,770.0,130.0,9.0,150.0,Not Specified,Not specified,Not Specified,True,True,True,True,False
天鹰 游艇125,7280,Tianying,Pedal,domestic,Zhejiang Tianying Locomotive Co,single cylinder four stroke air-cooled 125cc,9.4,6.9/7000,CVT continuously variable transmission automatic transmission,none,xx(mm),1890x685x1105,740.0,102.0,5.5,90.0,2.2,200,"Black, Suzuki Ash, Suzuki Blue, Pearl White",False,False,False,False,False
天鹰 TS,12980,Tianying,Pedal,domestic,Zhejiang Tianying Locomotive Co,single cylinder four stroke water-cooled 150cc,14.3,10.5/8500,CVT continuously variable transmission automatic transmission,standard,xx(mm),1980x790x1085,745.0,130.0,11.0,102.0,2.4,400,Not Specified,False,False,False,False,False
天鹰 TX,17180,Tianying,Pedal,domestic,Zhejiang Tianying Locomotive Co,single cylinder four stroke water-cooled 250cc,25.2,18.5/8250,CVT continuously variable transmission automatic transmission,standard,Not specified,1975x785x1240,760.0,165.0,12.0,125.0,Not specified,350,Not Specified,False,False,False,False,False
天鹰 糖,13680,Tianying,Pedal,domestic,Zhejiang Tianying Locomotive Co,single cylinder four stroke water-cooled 150cc,15.8,11.6/8500,CVT continuously variable transmission automatic transmission,standard,Not specified,1970x745x1140,745.0,128.0,12.0,105.0,Not specified,450,"Rock Beach White+Cola Red, Rock Beach White+Black, Ivory White, Matte Grey+Black",False,False,False,False,False
天鹰 楼兰,14580,Tianying,Pedal,domestic,Zhejiang Tianying Locomotive Co,single cylinder four stroke water-cooled 150cc,14.4,10.6/8500,CVT continuously variable transmission automatic transmission,standard,Not specified,1905x715x1160,770.0,130.0,10.0,105.0,2.5,Not specified,Serimu Lake Blue,False,False,False,False,False
天鹰 TT,13980,Tianying,Pedal,domestic,Zhejiang Tianying Locomotive Co,single cylinder four stroke water-cooled 150cc,15.8,11.6/8500,CVT continuously variable transmission automatic transmission,standard,Not specified,1960x730x1170,780.0,140.0,12.0,100.0,2.4,Not specified,Not Specified,False,False,False,False,False
天鹰 TA,13980,Tianying,Pedal,domestic,Zhejiang Tianying Locomotive Co,single cylinder four stroke water-cooled 150cc,15.8,11.6/8500,CVT continuously variable transmission automatic transmission,standard,Not specified,2000x717x1225,745.0,138.0,14.1,108.0,Not specified,Not specified,"Lake Blue/Phantom Grey, Phantom Grey, Ivory White, Ice and Snow White/Black/Dazzling Yellow, Ice and Snow White/Cola Red",False,False,False,False,False
天鹰 游艇150,12800,Tianying,Pedal,domestic,Zhejiang Tianying Locomotive Co,single cylinder four stroke water-cooled 150cc,13.6,10/,CVT continuously variable transmission automatic transmission,standard,xx(mm),1960x735x1150,770.0,130.0,0.0,90.0,Not specified,Not specified,"white, black, cement gray",False,True,False,False,False
天鹰 VOX,12800,Tianying,Retro,Domestic,Not Specified,"single cylinder four stroke, 250cc",12.6,Not Specified,Not specified,Not Specified,Not specified,1970x745x1015,770.0,143.0,0.0,100.0,Not specified,Not specified,Not Specified,True,True,False,False,False
天鹰 爵士TY250-5,13800,Tianying,Retro,Domestic,Not Specified,single cylinder four stroke oil cooled 223cc,16.32,12/7500,international six speed,none,Not specified,1986x822x1049,800.0,153.0,14.0,115.0,Not specified,Not specified,Not Specified,False,False,False,False,False
天鹰 Vertigo 300,88000,Tianying,Off road,Domestic,Not Specified,single cylinder two-stroke water-cooled 300cc,12.6,Not Specified,international 6-speed,none,xx(mm),2210x785x1280,680.0,69.0,2.3,95.0,Not specified,Not specified,Not Specified,True,False,False,False,True
天鹰 TT150公务车,Currently no quotation available,Tianying,Pedal,domestic,Not Specified,single cylinder four stroke water-cooled 150cc,12.6,Not Specified,CVT continuously variable transmission automatic transmission,standard,Not specified,Not Specified,770.0,130.0,0.0,95.0,Not specified,Not specified,Not Specified,True,True,True,False,True
宗申 125ET,6880,Zongshen,Pedal,domestic,Not Specified,single cylinder four stroke air-cooled 125cc,9.5,7/7500,CVT continuously variable transmission automatic transmission,none,xx(mm),1786x690x1265,720.0,112.0,5.6,80.0,2.2,Not specified,"Snow Mountain White, Apple Red, Sparkling Green, Hongxi Light Blue, Dreamy Sky, Rock Grey",False,False,False,False,False
宗申 Yami,7280,Zongshen,Bending beam,domestic,Chongqing Zongshen Locomotive Industry Manufacturing Co,single cylinder four stroke air-cooled 110cc,6.8,5/8000,cycle 4-speed,Not specified,Not specified,1900x680x1010,755.0,97.0,4.5,95.0,2.3,Not specified,Not Specified,False,False,False,False,True
宗申 野米Yemi,7680,Zongshen,Bending beam,domestic,Chongqing Zongshen Locomotive Industry Manufacturing Co,single cylinder four stroke air-cooled 125cc,8.8,6.5/7500,cycle 4-speed,Not specified,Not specified,1915x775x1030,765.0,102.0,4.5,90.0,Not specified,Not specified,"Flame Red, Vitality Yellow, Sunshine Green, Sky White, Leisure Camouflage (+200 yuan), Gulf Oil (+200 yuan), Retro Green (+200 yuan)",False,False,False,False,False
宗申 Week8,9580,Zongshen,Retro,Domestic,Not Specified,single cylinder four stroke air-cooled 150cc,11.3,8.3/8000,international 5-speed,none,Not specified,1920x790x1080,720.0,134.0,15.0,95.0,Not specified,500,"Industrial Black, Dazzling Silver, Elizabeth, Bright Grey, Haze Blue",False,False,False,False,False
宗申 150R,9180,Zongshen,Mini,Domestic,Not Specified,single cylinder four stroke air-cooled 150cc,10.6,7.8/7000,international 5-speed,Not specified,Not specified,1770x810x1000,745.0,125.0,13.0,95.0,Not specified,500,Not Specified,False,False,False,False,False
宗申 优米Yomi,10288,Zongshen,Mini,Domestic,Chongqing Zongshen Locomotive Industry Manufacturing Co,single cylinder four stroke air-cooled 125cc,7.9,5.8/8000,CVT continuously variable transmission automatic transmission,standard,Not specified,2127x819x1127,650.0,113.0,6.5,85.0,Not specified,Not specified,"Chongqing red, Beijing white, Xi'an black gold, Taipei dark green",False,False,False,False,False
宗申 小熊,10588,Zongshen,Mini,Domestic,Chongqing Zongshen Locomotive Industry Manufacturing Co,single cylinder four stroke air-cooled 150cc,10.6,7.8/7000,international 5-speed,standard,Not specified,1760x725x970,740.0,121.0,11.5,95.0,Not specified,Not specified,"Aurora Black, Pixel Red, Player Yellow, Dreamy White",False,False,False,False,False
宗申 200SC,11980,Zongshen,Street car,domestic production,Not Specified,single cylinder four stroke air-cooled 200cc,14.3,10.5/7500,international 6-speed,Not specified,xx(mm),2072x900x1155,700.0,153.0,13.0,105.0,Not specified,Not specified,Not Specified,False,False,False,False,False
宗申 250X,13680,Zongshen,Off road,Domestic,Chongqing Zongshen Locomotive Industry Manufacturing Co,single cylinder four stroke oil cooled 250cc,19.0,14/8000,international 6-speed,standard,Not specified,2115x880x1220,850.0,145.0,12.0,110.0,3.5,Not specified,Not Specified,False,False,False,False,False
宗申 150X,14260,Zongshen,Tension,domestically produced,Not Specified,single cylinder four stroke water-cooled 150cc,13.6,10/8500,international 5-speed,Not specified,Not specified,2095x830x1295,780.0,171.0,14.0,100.0,Not specified,Not specified,"Snow Mountain White, Bright Green, Argentine Orange Yellow, Night Black",False,False,False,False,False
宗申 250R,14800,Zongshen,Street car,domestic production,Not Specified,single cylinder four stroke oil cooled 250cc,19.0,14/8000,international 6-speed,standard,Not specified,2025x800x1070,775.0,150.0,13.0,115.0,Not specified,450,Not Specified,False,False,False,False,False
宗申 M250R,18800,Zongshen,Street car,domestic production,Chongqing Zongshen Locomotive Industry Manufacturing Co,single cylinder four stroke water-cooled 250cc,27.9,20.5/9000,international 6-speed,standard,xx(mm),2050x825x1145,805.0,150.0,0.0,125.0,Not specified,Not specified,"Milan white, Caesar black, Duke blue",False,False,False,False,False
宗申 G250E,Currently no quotation available,Zongshen,Retro,Domestic,Not Specified,"single cylinder four stroke, 250cc",12.6,Not Specified,Not specified,Not specified,Not specified,Not Specified,770.0,130.0,0.0,95.0,Not specified,Not specified,Not Specified,True,True,True,False,True
宗申 MO拽,6580,Zongshen,Pedal,domestic,Not Specified,single cylinder four stroke air-cooled 125cc,8.8,6.5/7500,CVT continuously variable transmission automatic transmission,Not specified,Not specified,1785x635x1278,740.0,105.0,6.5,80.0,2.6,Not specified,Not Specified,False,False,False,False,False
宗申 MO爽,Currently no quotation available,Zongshen,Pedal,domestic,Not Specified,single cylinder four stroke air-cooled 124cc,9.0,6.6/,CVT continuously variable transmission automatic transmission,Not specified,Not specified,1785x635x1115,740.0,105.0,6.5,85.0,2.6,Not specified,Not Specified,False,False,False,False,False
宗申 MO控,6580,Zongshen,Pedal,domestic,Not Specified,single cylinder four stroke air-cooled 125cc,9.0,6.6/,CVT continuously variable transmission automatic transmission,Not specified,Not specified,1785x635x1115,770.0,105.0,6.5,85.0,2.6,Not specified,Not Specified,False,True,False,False,False
宗申 MO悦,7580,Zongshen,Pedal,domestic,Not Specified,single cylinder four stroke air-cooled 125cc,9.5,7/7500,CVT continuously variable transmission automatic transmission,Not specified,Not specified,1786x690x1120,720.0,112.0,6.0,80.0,2.2,Not specified,Not Specified,False,False,False,False,False
QJETECH V1,2099,QJETECH,Pedal,domestic,Not Specified,Not Specified,0.5,0.4/,Not Specified,Not specified,Not specified,1470x640x980,730.0,130.0,9.0,25.0,Not Specified,65,Not Specified,False,False,True,True,False
QJETECH V2,2099,QJETECH,Pedal,domestic,Not Specified,Not Specified,0.5,0.4/,Not Specified,Not specified,Not specified,1485x662x1014,730.0,130.0,9.0,25.0,Not Specified,65,Not Specified,False,False,True,True,False
QJETECH S2,3699,QJETECH,Pedal,domestic,Not Specified,Not Specified,12.6,Not Specified,Not Specified,Not specified,Not specified,1710x655x1060,710.0,55.0,9.0,25.0,Not Specified,70,Not Specified,True,False,False,True,False
QJETECH S1 Vc,3899,QJETECH,Pedal,domestic,Not Specified,Not Specified,0.5,0.4/,Not Specified,Not specified,Not specified,1485x682x1020,725.0,130.0,9.0,25.0,Not Specified,60,Not Specified,False,False,True,True,False
QJETECH VC+,3899,QJETECH,Pedal,domestic,Not Specified,Not Specified,0.5,0.4/,Not Specified,Not specified,Not specified,1540x680x1020,725.0,130.0,9.0,25.0,Not Specified,60,Not Specified,False,False,True,True,False
QJETECH Q动,3899,QJETECH,Pedal,domestic,Not Specified,Not Specified,12.6,Not Specified,Not Specified,Not specified,Not specified,1750x720x1065,755.0,130.0,9.0,55.0,Not Specified,68,Not Specified,True,False,True,True,False
QJETECH EQ,3999,QJETECH,Pedal,domestic,Not Specified,Not Specified,0.5,0.4/,Not Specified,Not specified,Not specified,1570x675x1040,725.0,130.0,9.0,25.0,Not Specified,70,Not Specified,False,False,True,True,False
QJETECH S5,4099,QJETECH,Pedal,domestic,Not Specified,Not Specified,0.5,0.4/,Not Specified,Not specified,Not specified,1710x655x1060,700.0,55.0,9.0,25.0,Not Specified,70,"Starry Night Black, Matte Light Blue, Rich White",False,False,False,True,False
QJETECH S3,4599,QJETECH,Pedal,domestic,Not Specified,Not Specified,0.5,0.4/,Not Specified,Not specified,Not specified,1710x655x1060,700.0,55.0,9.0,25.0,Not Specified,70,"Dong Dong Lan, Cement Grey, Piano Black",False,False,False,True,False
胜利 Octane,139900,Victory,Cruising crown prince,Imported,Not Specified,dual cylinder four stroke water-cooled 1179cc,104.69,77/8000,6,Not specified,Not specified,2286xxxx,658.0,243.0,12.9,95.0,Not specified,Not specified,Not Specified,False,False,False,False,True
胜利 Gunner Bobber,179900,Victory,Cruising crown prince,Imported,Not Specified,dual cylinder four stroke air-cooled/oil cooled 1731cc,82.12,60.4/,6,Not specified,Not specified,2372xxx,658.0,300.0,17.0,95.0,Not specified,Not specified,Not Specified,False,False,False,False,True
火岩兽 速250,15800,Huoyan,Sports car,domestic production,Chongqing New Sensation Motorcycle Company,single cylinder four stroke air-cooled 250cc,16.7,12.3/8000,international 6-speed,Not specified,xx(mm),1920x750x1075,770.0,137.0,14.0,125.0,Not specified,Not specified,Not Specified,False,True,False,False,False
航爵 GT 150,12800,Hangjue,Pedal,domestic,Not Specified,single cylinder four stroke water-cooled 150cc,15.0,11/8500,CVT continuously variable transmission automatic transmission,standard,xx(mm),2055x770x1340,680.0,155.0,7.5,110.0,2.6,230,Not Specified,False,False,False,False,False
航爵 Vista 150,7880,Hangjue,Pedal,domestic,Not Specified,single cylinder four stroke air-cooled 150cc,8.2,6/7500,CVT continuously variable transmission automatic transmission,none,xx(mm),1895x650x1125,780.0,128.0,6.0,85.0,2.6,Not specified,"cement gray, green, red, blue, white, black",False,False,False,False,False
重庆 雅格,6980,Chongqing,Pedal,domestic,Chongqing Construction Electromechanical Co,single cylinder four stroke air-cooled 125cc,7.1,5.2/,CVT continuously variable transmission automatic transmission,none,Not specified,1850x680x1060,720.0,90.0,0.0,80.0,Not specified,Not specified,"yellow, blue, frosted gray, matte white, red",False,False,False,False,False
滨崎 酷奇,6780,Hamasaki,Pedal,domestic,Zhejiang Jinye Motor Vehicle Industry Co,single cylinder four stroke air-cooled 125cc,7.1,5.2/7500,CVT continuously variable transmission automatic transmission,Not specified,Not specified,1880x710x1140,770.0,104.0,9.0,95.0,Not specified,Not specified,"Zhenlong White, Bingo Silver, Bay Blue, Gadi Green, Extreme Wind Grey",False,True,False,False,True
滨崎 酷狗,6680,Hamasaki,Pedal,domestic,Zhejiang Jinye Motor Vehicle Industry Co,single cylinder four stroke air-cooled 125cc,9.2,6.8/7500,CVT continuously variable transmission automatic transmission,Not specified,Not specified,1860x690x1115,750.0,130.0,8.7,95.0,Not specified,Not specified,"Warm White, Khaki Grey, Orange",False,False,True,False,True
滨崎 锐鹰UA,5980,Hamasaki,Pedal,domestic,Zhejiang Jinye Motor Vehicle Industry Co,single cylinder four stroke air-cooled 125cc,7.1,5.2/7500,CVT continuously variable transmission automatic transmission,Not specified,Not specified,1830x720x1115,750.0,111.0,4.2,80.0,2.2,Not specified,Not Specified,False,False,False,False,False
光速 A Plus 400,36800,Lightspeed,Pedal,domestic,Chinese manufacturer Qingqi Group Jiangmen Lightspeed Motorcycle Co,single cylinder four stroke water-cooled 400cc,30.7,22.6/6500,CVT continuously variable transmission automatic transmission,standard,Not specified,2248x800x1308,800.0,181.0,13.5,130.0,Not specified,Not specified,Not Specified,False,False,False,False,False
光速 ES 150 R,Currently no quotation available,Lightspeed,Pedal,domestic,Not Specified,single cylinder four stroke air-cooled 150cc,12.6,Not Specified,Not Specified,Not specified,Not specified,Not Specified,770.0,130.0,7.0,95.0,Not specified,Not specified,Not Specified,True,True,True,False,True
之威 天戈,8280,Power,Pedal,domestic,Taizhou Jiaojiang Zhiwei Motorcycle Manufacturing Co,single cylinder four stroke air-cooled 125cc,7.1,5.2/7500,CVT continuously variable transmission automatic transmission,standard,Not specified,1900x700x1100,750.0,110.0,8.5,95.0,Not specified,Not specified,Not Specified,False,False,False,False,False
之威 梦威拉,8280,Power,Pedal,domestic,Taizhou Jiaojiang Zhiwei Motorcycle Manufacturing Co,single cylinder four stroke air-cooled 125cc,7.1,5.2/7500,CVT continuously variable transmission automatic transmission,none,xx(mm),1823x704x1126,770.0,100.0,8.5,80.0,Not specified,Not specified,"Mars Grey/Yellow, Bay Blue, Glacier White, Apple Green, Dream Green, Jade Brown",False,True,False,False,False
克尔维特 兰博300,15999,Corvette,Street car,domestic production,Not Specified,single cylinder four stroke water-cooled 279cc,25.2,18.5/8500,international 6-speed,standard,Not specified,2000x730x1030,810.0,124.0,0.0,95.0,Not specified,Not specified,Not Specified,False,False,False,False,True
深远 T90,5149,far,Pedal,domestic,Not Specified,Not Specified,0.5,0.4/,Not Specified,Not specified,xx(mm),1700x725x1020,760.0,54.2,9.0,25.0,Not Specified,120,"dark green, gemstone blue",False,False,False,True,False
宏佳腾 3D-350R,68800,Hongjiateng,Three wheel,Domestic,Chinese manufacturer Zongshen Biaqiao Foshan Motorcycle Enterprise Co,single cylinder four stroke water-cooled 350cc,29.0,21.3/7000,CVT continuously variable transmission automatic transmission,none,xx(mm),2150x840x1340,790.0,130.0,13.5,95.0,Not specified,Not specified,Not Specified,False,False,True,False,True
宏佳腾 Coin 125,Currently no quotation available,Hongjiateng,Pedal,domestic,Not Specified,single cylinder four stroke air-cooled 125cc,12.6,Not Specified,Not specified,Not Specified,Not specified,1657x674x1074,770.0,130.0,5.5,95.0,Not specified,Not specified,Not Specified,True,True,True,False,True
宏佳腾 Dory 115,Currently no quotation available,Hongjiateng,Pedal,domestic,Not Specified,single cylinder four stroke air-cooled 115cc,12.6,Not Specified,Not specified,Not Specified,Not specified,1720x640x1060,770.0,130.0,6.0,95.0,Not specified,Not specified,Not Specified,True,True,True,False,True
宏佳腾 ES 150 R,Currently no quotation available,Hongjiateng,Pedal,domestic,Not Specified,single cylinder four stroke air-cooled 150cc,12.6,Not Specified,CVT continuously variable transmission,none,xx(mm),1910x730x1080,770.0,130.0,7.0,95.0,Not specified,Not specified,"peacock blue, GP red, matte black",True,True,True,False,True
宏佳腾 My 150,Currently no quotation available,Hongjiateng,Street car,domestic production,Not Specified,single cylinder four stroke 150cc,12.6,Not Specified,international 5-speed,Not specified,Not specified,1763x783x1033,770.0,130.0,6.0,95.0,Not specified,Not specified,Not Specified,True,True,True,False,True
宏佳腾 OZS150i,Currently no quotation available,Hongjiateng,Pedal,domestic,Not Specified,single cylinder four stroke air-cooled 150cc,12.6,Not Specified,CVT continuously variable transmission automatic transmission,none,xx(mm),1880x730x1100,770.0,130.0,7.0,95.0,Not specified,Not specified,Not Specified,True,True,True,False,True
宏佳腾 Elite 300R,Currently no quotation available,Hongjiateng,Pedal,domestic,Not Specified,single cylinder four stroke water-cooled 300cc,12.6,Not Specified,CVT continuously variable transmission,standard,Not specified,2250x850x1380,790.0,130.0,13.5,95.0,Not specified,Not specified,Not Specified,True,False,True,False,True
领辰 003,11800,Lingchen,Pedal,domestic,Not Specified,single cylinder four stroke 150cc,12.9,9.5/8250,CVT continuously variable transmission automatic transmission,standard,Not specified,1970x725x1160,745.0,130.0,10.0,105.0,Not specified,Not specified,Not Specified,False,False,True,False,False
领辰 006,12580,Lingchen,Pedal,domestic,Not Specified,single cylinder four stroke water-cooled 150cc,12.9,9.5/8250,CVT continuously variable transmission automatic transmission,standard,Not specified,1910x745x1275,780.0,130.0,11.0,105.0,Not specified,Not specified,Not Specified,False,False,False,False,False
零号 Bobber450,26920,Zero,Cruising crown prince,Domestic,Taizhou Wangpai Car Industry Co,inline dual cylinder four stroke water-cooled 450cc,36.7,27/8500,international 6-speed,standard,xx(mm),2210x996x1090,710.0,218.0,12.0,140.0,3.5,330,Not Specified,False,False,False,False,False
猎拓 250R,18800,Lietuo,Sports car,domestic production,Zhejiang Xinke Locomotive Technology Co,single cylinder four stroke water-cooled 250cc,26.5,19.5/9000,international 6-speed,standard,Not specified,2070x855x1160,780.0,165.0,12.0,95.0,Not specified,Not specified,Not Specified,False,False,False,False,True
新本 LX125,6980,new,Pedal,domestic,Zhejiang Tianying Locomotive Co,single cylinder four stroke air-cooled 125cc,7.3,5.4/,CVT continuously variable transmission automatic transmission,Not specified,xx(mm),1825x680x1127,750.0,103.0,5.4,95.0,2.2,240,"Suzuki Red, New Silver White, Suzuki Dumb Grey, Suzuki Dumb Blue, Suzuki Blue, Pearl White, Dumb Black",False,False,False,False,True
新本 高尔夫,7680,new,Pedal,domestic,Zhejiang Tianying Locomotive Co,single cylinder four stroke air-cooled 125cc,9.2,6.8/7500,CVT continuously variable transmission automatic transmission,Not specified,xx(mm),1850x720x1115,750.0,109.0,5.9,85.0,2.2,Not specified,"pearl white, frosted green, bay blue, frosted gray, mint green",False,False,False,False,False
虔途 03,12688,Qiantu,Pedal,domestic,Not Specified,Not Specified,12.6,Not Specified,Not Specified,standard,Not specified,1863x708x1158,770.0,115.0,9.0,86.0,Not Specified,86,Not Specified,True,False,False,True,False
虔途 01,29688,Qiantu,Pedal,domestic,Not Specified,Not Specified,19.6,14.4/,Not Specified,standard,Not specified,1920x760x1260,780.0,165.0,9.0,115.0,Not Specified,140,"sand, white, blue, green",False,False,False,True,False
虔途 02,39688,Qiantu,Off road,Domestic,Not Specified,Not Specified,51.7,38/,Not Specified,standard,Not specified,2380x830x1300,860.0,115.0,9.0,120.0,Not Specified,100,Not Specified,False,False,False,True,False
三铃 俊朗SL125-20T,4900,Sanling,Street car,domestic production,Not Specified,single cylinder four stroke air-cooled 125cc,12.6,Not Specified,international gear,none,Not specified,Not Specified,770.0,130.0,0.0,95.0,Not specified,Not specified,Not Specified,True,True,True,False,True
三铃 酷SL150-30,6450,Sanling,Street car,domestic production,Not Specified,single cylinder four stroke air-cooled 149cc,12.6,Not Specified,international gear,none,Not specified,1985x805x1085,770.0,126.0,0.0,95.0,Not specified,Not specified,Not Specified,True,True,False,False,True
三铃 街玩SL125GS,7980,Sanling,Pedal,domestic,Not Specified,single cylinder four stroke air-cooled 124cc,8.57,6.3/,four speed,none,Not specified,1926x830x1110,770.0,117.0,5.5,95.0,Not specified,Not specified,Not Specified,False,True,False,False,True
三铃 铃木王SL125-23AT,8800,Sanling,Street car,domestic production,Not Specified,single cylinder four stroke air-cooled 125cc,12.6,Not Specified,international gear,none,Not specified,2015,770.0,123.0,0.0,95.0,Not specified,Not specified,Not Specified,True,True,False,False,True
三铃 爱神SL350T,36800,Sanling,Pedal,domestic,Not Specified,single cylinder four stroke water-cooled 350cc,24.98,18.375/,CVT continuously variable transmission,none,Not specified,2206,790.0,130.0,13.5,95.0,Not specified,Not specified,Not Specified,False,False,True,False,True
三铃 翼SL150-29 V,5200,Sanling,Street car,domestic production,Not Specified,single cylinder four stroke air-cooled 149cc,12.6,Not Specified,Not specified,Not Specified,Not specified,Not Specified,770.0,130.0,0.0,95.0,Not specified,Not specified,Not Specified,True,True,True,False,True
三铃 领航太子SL125-5BT,5800,Sanling,Street car,domestic production,Not Specified,single cylinder four stroke air-cooled 125cc,12.6,Not Specified,Not specified,Not Specified,Not specified,1965x835x1100,770.0,115.0,12.0,95.0,Not specified,Not specified,Not Specified,True,True,False,False,True
三铃 喜旺SL150-28A,4680,Sanling,Street car,domestic production,Not Specified,single cylinder four stroke air-cooled 150cc,12.6,Not Specified,Not specified,Not Specified,Not specified,2010x768x1085,770.0,136.0,0.0,95.0,Not specified,Not specified,Not Specified,True,True,False,False,True
三铃 和谐号SL125-T CG,4500,Sanling,Street car,domestic production,Not Specified,single cylinder four stroke air-cooled 125cc,12.6,Not Specified,international gear,none,Not specified,Not Specified,770.0,130.0,0.0,95.0,Not specified,Not specified,Not Specified,True,True,True,False,True
三铃 五羊SL150-2T,4800,Sanling,Street car,domestic production,Not Specified,single cylinder four stroke air-cooled 150cc,12.6,Not Specified,Not specified,Not Specified,Not specified,1956x790x1080,770.0,121.0,0.0,95.0,Not specified,Not specified,Not Specified,True,True,False,False,True
三铃 钻豹SL125-3T,5600,Sanling,Street car,domestic production,Not Specified,single cylinder four stroke air-cooled 125cc,12.6,Not Specified,international gear,none,Not specified,2020,770.0,130.0,0.0,95.0,Not specified,Not specified,Not Specified,True,True,True,False,True
三铃 太子SL125-5T,5600,Sanling,Street car,domestic production,Not Specified,single cylinder four stroke air-cooled 125cc,12.6,Not Specified,international gear,none,Not specified,1965x835x1100,770.0,115.0,0.0,95.0,Not specified,Not specified,Not Specified,True,True,False,False,True
三铃 酷驰SL110-11,3800,Sanling,Bending beam,domestic,Not Specified,single cylinder four stroke air-cooled 110cc,7.1,5.2/7500,Not specified,Not Specified,Not specified,1888x685x1065,770.0,95.0,4.0,95.0,Not specified,Not specified,Not Specified,False,True,False,False,True
三铃 V驰SL110-10,3800,Sanling,Bending beam,domestic,Not Specified,with a,12.6,Not Specified,gear,not,Not specified,1888,770.0,95.0,4.8,95.0,Not specified,Not specified,Not Specified,True,True,False,False,True
三铃 罗马阳光SL125T-16A,Currently no quotation available,Sanling,Pedal,domestic,Not Specified,single cylinder four stroke air-cooled 125cc,12.6,Not Specified,Not specified,Not Specified,Not specified,Not Specified,770.0,130.0,0.0,95.0,Not specified,Not specified,Not Specified,True,True,True,False,True
三铃 羽钻SL125T-10,Currently no quotation available,Sanling,Pedal,domestic,Not Specified,single cylinder four stroke air-cooled 125cc,12.6,Not Specified,Not specified,Not Specified,Not specified,1850x685x1150,770.0,97.0,0.0,95.0,Not specified,Not specified,Not Specified,True,True,False,False,True
三铃 天王星 SL100T-6,Currently no quotation available,Sanling,Pedal,domestic,Not Specified,single cylinder four stroke air-cooled,12.6,Not Specified,Not specified,Not specified,Not specified,1820,770.0,130.0,0.0,95.0,Not specified,Not specified,Not Specified,True,True,True,False,True
三铃 SL100T-S,Currently no quotation available,Sanling,Pedal,domestic,Pengma Industrial Co,single cylinder four stroke air-cooled 100cc,5.8,4.3/,CVT continuously variable transmission automatic transmission,Not specified,Not specified,1805x640x1060,770.0,97.0,0.0,80.0,Not specified,Not specified,Not Specified,False,True,False,False,False
三铃 SL110-6S,Currently no quotation available,Sanling,Bending beam,domestic,Pengma Industrial Co,single cylinder four stroke air-cooled 110cc,7.1,5.2/,cycle 4-speed,Not specified,Not specified,1885x665x1080,770.0,95.0,0.0,80.0,Not specified,Not specified,Not Specified,False,True,False,False,False
三铃 SL110T,Currently no quotation available,Sanling,Pedal,domestic,Pengma Industrial Co,single cylinder four stroke air-cooled 110cc,8.2,6/,CVT continuously variable transmission automatic transmission,Not specified,Not specified,1830x695x1100,770.0,99.0,0.0,80.0,Not specified,Not specified,Not Specified,False,True,False,False,False
三铃 SL125-3S,Currently no quotation available,Sanling,Retro,Domestic,Pengma Industrial Co,single cylinder four stroke air-cooled 125cc,10.9,8/,Not specified,Not specified,Not specified,2030x770x1060,770.0,118.0,0.0,90.0,Not specified,Not specified,Not Specified,False,True,False,False,False
三铃 SL125-S,Currently no quotation available,Sanling,Retro,Domestic,Pengma Industrial Co,single cylinder four stroke air-cooled 125cc,11.1,8.2/,Not specified,Not specified,Not specified,1980x760x1002,770.0,108.0,0.0,90.0,Not specified,Not specified,Not Specified,False,True,False,False,False
三铃 SL125T-12S,Currently no quotation available,Sanling,Pedal,domestic,Pengma Industrial Co,single cylinder two-stroke air-cooled 125cc,8.2,6/,CVT continuously variable transmission automatic transmission,Not specified,Not specified,1850x685x1150,770.0,107.0,0.0,80.0,Not specified,Not specified,Not Specified,False,True,False,False,False
三铃 SL150-2S,Currently no quotation available,Sanling,Retro,Domestic,Pengma Industrial Co,single cylinder four stroke air-cooled 150cc,12.0,8.8/,Not specified,Not specified,Not specified,2040x770x1070,770.0,118.0,0.0,90.0,Not specified,Not specified,Not Specified,False,True,False,False,False
