Model Name,Reference Price (Yuan),Brand,Model,Production Method,Origin,Engine,Max Horsepower (Ps),Max Power/Speed (kW/rpm),Max Torque/Speed (N·m/rpm),Transmission,ABS,CBS,Dimensions (LxWxH mm),Seat Height (mm),Curb Weight (kg),Fuel Tank Capacity (L),Max Speed (km/h),Official Average Fuel Consumption (L/100km),Measured Average Fuel Consumption (L/100km),Range (km),Warranty,Available Colors
派方 星雷,44888,formula,,,Chongqing Lifan Ruichi Motorcycle Co.,V-type twin cylinder four stroke water-cooled  600cc,54.4,40/8000,,international 6-speed,standard,-,2474x932x1276,745,327,20,158,4.5,,440,for,"Stardust Grey, Matte Black"
派方 泰坦,12888,Pai,Cruising Crown Prince,Domestic,Lifan Technology (Group) Co.,single cylinder four stroke oil cooled  250cc,20.4,15/7800,,international 6-speed,standard,-,2170x880x1150,715,167,13,114,2.5,,-,,"matte black, coronal red, halo yellow"
派方 引力,,dispatching,", street car,",,,with 650cc,,,,-,,-,,,,0,,-,,-,,
派方 EZ,11888,Pai,pedal,,,single cylinder four stroke water-cooled  150cc,16.6,12.2/8500,,CVT continuously variable transmission automatic transmission,standard,-,1910x760x1115,770,148,11,,2.7,,-,,"Interstellar Grey, Nebula Green, Gravity Orange"
南方 梦拉丽莎 飞戈,,dispatching,", street car,",,,,,,,,,standard,,,,,,,,-,,
南方 梦拉丽莎 Melalisa150,16980,South,pedal,,Zhuzhou Nanfang Motorcycle Co.,single cylinder four stroke water-cooled  250cc,25.8,19/8250,,CVT continuously variable transmission automatic transmission,standard,-,2000x680x1140,740,150,12,130,3.1,,350,,"Rock Beach White, Cola Red, Bay Blue, Fly Gray, Colorful White, Aviation Green, Dream Green, Ivory White"
南方 NF150T,13980,South,pedal,,Zhuzhou Nanfang Motorcycle Co.,single cylinder four stroke water-cooled  150cc,13.6,10/8000,,CVT continuously variable transmission automatic transmission,standard,-,2010x700x1145,755,130,11,105,2.4,,450,for,
南方 NY125T-60A,Currently no quotation available,Southern,pedal,,Zhuzhou Nanfang Motorcycle Co.,single cylinder four stroke water-cooled  150cc,13.6,10/,,CVT continuously variable transmission automatic transmission,,-,203x80x1060,,132,0,90,-,,-,,
南方 V酷125,3980,South,pedal,,,single cylinder four stroke air-cooled  125cc,,,,CVT continuously variable transmission automatic transmission,none,without,1800x710x1000,,85,0,80,-,,-,,
南方 NY110T-5,5880,South,pedal,,Zhuzhou Nanfang Motorcycle Co.,single cylinder four stroke air-cooled  125cc,8.4,6.2/7500,,CVT continuously variable transmission automatic transmission,none,without,1800x670x1130,670,99,5.5,80,2,,-,,
南方 迈巴赫125,5880,South,pedal,,,single cylinder four stroke air-cooled  110cc,7.3,5.4/,,CVT continuously variable transmission automatic transmission,none,without,1780x685x1060,,91,0,80,-,,-,,
南方 NF125T-50A,6180,South,pedal,,Zhuzhou Nanfang Motorcycle Co.,single cylinder four stroke air-cooled  125cc,8.4,6.2/7500,,CVT continuously variable transmission automatic transmission,none,without,1800x670x1130,750,99,5.5,,2,,-,,
南方 炫舞125,6880,South,pedal,,,single cylinder four stroke air-cooled  125cc,7.9,5.8/,,CVT continuously variable transmission automatic transmission,none,without,2040x720x1070,,118,0,80,-,,-,,
南方 坦克125,6880,South,pedal,,,single cylinder four stroke air-cooled  125cc,9.2,6.8/7500,,CVT continuously variable transmission automatic transmission,none,without,1780x720x1060,750,90,5,,2.6,,-,,"Star Platinum Grey, Sunshine Yellow, Snow Blue, Sky Lake Blue, Deep Blue Grey, Orange Red"
南方 NF125T-51A,6980,South,pedal,,,single cylinder four stroke air-cooled  125cc,11.3,8.3/8000,,CVT continuously variable transmission automatic transmission,none,without,1950x770x1180,780,110,7.5,,2.8,,-,,"Black, Sky Lake Blue, White, Cement Grey, Orange Red"
南方 NF125T-52A,Currently no quotation available,Southern,pedal,,Zhuzhou Nanfang Motorcycle Co.,single cylinder four stroke air-cooled  125cc,7.9,5.8/,,CVT continuously variable transmission automatic transmission,-,-,1940x650x1070,,105,0,80,-,,-,,
南方 NF125T-53A,Currently no quotation available,Southern,pedal,,Zhuzhou Nanfang Motorcycle Co.,single cylinder four stroke air-cooled  125cc,7.9,5.8/,,CVT continuously variable transmission automatic transmission,-,-,2070x720x1140,,106,0,80,-,,-,,
南方 NF125T-55A,Currently no quotation available,Southern,pedal,,Zhuzhou Nanfang Motorcycle Co.,single cylinder four stroke air-cooled  125cc,7.9,5.8/,,CVT continuously variable transmission automatic transmission,-,-,1740x670x1100,,92,0,80,-,,-,,
南方 NF125T-56A,Currently no quotation available,Southern,pedal,,Zhuzhou Nanfang Motorcycle Co.,single cylinder four stroke air-cooled  125cc,7.9,5.8/,,CVT continuously variable transmission automatic transmission,-,-,1830x720x1115,,105,0,80,-,,-,,
南方 NF125T-57A,Currently no quotation available,Southern,pedal,,Zhuzhou Nanfang Motorcycle Co.,single cylinder four stroke air-cooled  125cc,7.9,5.8/,,CVT continuously variable transmission automatic transmission,-,-,1880x700x1120,,98,0,80,-,,-,,
南方 NF125T-58A,Currently no quotation available,Southern,pedal,,Zhuzhou Nanfang Motorcycle Co.,single cylinder four stroke air-cooled  125cc,7.9,5.8/,,CVT continuously variable transmission automatic transmission,-,-,1880x710x1110,,103,0,80,-,,-,,
南方 NF125-58,Currently no quotation available,Southern,pedal,,Zhuzhou Nanfang Motorcycle Co.,single cylinder four stroke air-cooled  125cc,7.9,5.8/,,CVT continuously variable transmission automatic transmission,-,-,1780x725x1140,,98,0,80,-,,-,,
南方 NF150-52A,Currently no quotation available,Southern,Cruising Crown Prince,Domestic,Zhuzhou Nanfang Motorcycle Co.,single cylinder four stroke air-cooled  125cc,9.8,7.2/,,-,-,-,2060x730x1080,,125,0,90,-,,-,,
南方 NF110-50A,Currently no quotation available,Southern,Retro,Domestic,Zhuzhou Nanfang Motorcycle Co.,single cylinder four stroke air-cooled  150cc,10.6,7.8/,,-,-,-,2030x760x1060,,106,0,,-,,-,,
南方 梦拉丽莎 飞戈边三轮,Currently no quotation available,Southern,bending beam,,Zhuzhou Nanfang Motorcycle Co.,single cylinder four stroke air-cooled  110cc,6.8,5/,,-,,-,1890x660x1060,,92,0,75,-,,-,,
嘉陵 CoCo Pony CD70,19980,South,Three Wheel,Domestic,Zhuzhou Nanfang Motorcycle Co.,single cylinder four stroke water-cooled  150cc,15.0,11/8500,,CVT continuously variable transmission automatic transmission,standard,-,2000x1470x1140,740,205,14,90,3.1,,450,,"Coke Red, Bay Blue, Ivory White"
嘉陵 CoCo,5970,Jialing,Retro,Domestic,Chongqing Jialing Jiapeng Industrial Co.,single cylinder four stroke air-cooled  70cc,4.8,3.5/8000,,cycle 4-speed,,-,1840x720x1035,750,99,9,70,-,,500,for,
嘉陵 CoCo Pony CD125,6980,Jialing,bending beam,,Chongqing Jialing Jiapeng Industrial Co.,single cylinder four stroke air-cooled  125cc,8.4,6.2/7000,,cycle 4th gear,none,without,1820x660x1030,750,86,3.5,80,1.5,,200,for,"Suzuki Red, Skyrim Grey, Fruit Dan Green, Goose Yellow"
嘉陵 CoCo Cross,7380,Jialing,Retro,Domestic,Chongqing Jialing Jiapeng Industrial Co.,single cylinder four stroke air-cooled  125cc,8.4,6.2/7000,,cycle 4-speed,-,-,1875x725x1070,790,86,9,80,-,,400,for,
嘉陵 Super CoCo,8980,Jialing,bending beam,,Chongqing Jialing Jiapeng Industrial Co.,single cylinder four stroke air-cooled  125cc,8.4,6.2/7000,,cycle 4-speed,,-,1920x720x1150,780,106,9,95,1.7,,-,of,"Moon Porcelain White, Star Blue, Desert Yellow, Fallen Leaf Yellow, Oil Fruit Green"
嘉陵 CoCo Pony 150F,9980,Jialing,bending beam,,Chongqing Jialing Jiapeng Industrial Co.,single cylinder four stroke air-cooled  125cc,8.4,6.2/7500,,cycle 4-speed,standard,-,1950x710x1030,750,101,5,90,-,,-,,
嘉陵 CoCo Blue Cat 蓝猫,9980,Jialing,Retro,Domestic,Chongqing Jialing Jiapeng Industrial Co.,single cylinder four stroke air-cooled  150cc,12.2,9/8000,,international 5-speed,standard,-,1810x770x1000,760,128,11,,-,,-,of,
嘉陵 CoCo SVR180,12380,Jialing,pedal,,Chongqing Jialing Jiapeng Industrial Co.,single cylinder four stroke water-cooled  150cc,14.3,10.5/8250,,CVT continuously variable transmission automatic transmission,standard,-,1975x720x1160,760,140,0,95,-,,-,of,
嘉陵 CoCo Cat 150T山猫,13680,Jialing,bending beam,,Chongqing Jialing Jiapeng Industrial Co.,single cylinder four stroke water-cooled  175cc,17.0,12.5/8500,,international 6-speed,standard,-,1970x715x1070,760,120,6.5,108,1.5,,400,for,
嘉陵 CoCo 边三轮,16680,Jialing,pedal,,Chongqing Jialing Jiapeng Industrial Co.,single cylinder four stroke water-cooled  150cc,14.3,10.5/8500,,CVT continuously variable transmission automatic transmission,standard,-,1970x740x1240,760,142,11,95,-,,400,for,"Deep Sea Blue, Sparkling Black, Pearl White, Smoke Blue Grey"
嘉陵 250F,15880,Jialing,Three Wheel,Domestic,Chongqing Jialing Jiapeng Industrial Co.,single cylinder four stroke air-cooled  125cc,8.4,6.2/7000,,in 3rd gear forward+1st gear reverse,,-,1810x1340x1010,750,145,0,60,-,,-,of,"ivory white, goose yellow"
嘉陵 JH600B,14980,Jialing,Retro,Domestic,,single cylinder four stroke air-cooled  250cc,20.4,15/8500,,-,standard,without,1985x825x1085,780,156,14,105,2.5,,560,,"Starry Blue, Magic Grey, Titanium Grey"
嘉陵 ES200,69800,Jialing,Three Wheel,Domestic,Chongqing Jialing Jiapeng Industrial Co.,single cylinder four stroke oil cooled  600cc,35.4,26/6000,,forward 4th gear+reverse gear,-,-,2407x1605x1400,950,370,19,110,-,,-,of,"military green, white, black, yellow"
嘉陵 JH150-10C,9980,Jialing,", street car,",,,single cylinder four stroke air-cooled  200cc,13.9,10.2/7000,,cycle 5-speed,-,standard,2070x760x1100,780,139,15,105,-,,-,,"Starlight Silver, Charm Red, Dazzling Blue, Starlight Black"
嘉陵 夜行者 JL125T-20,Currently no quotation available,Jialing,", street car,",,Chongqing Jialing Jiapeng Industrial Co.,single cylinder four stroke air-cooled  150cc,12.2,9/,,-,,-,1990x760x1110,,139,0,,-,,-,,
嘉陵 福鹰 JL125T-16,4980,Jialing,pedal,,,single cylinder four stroke air-cooled  125cc,7.1,5.2/7500,,CVT continuously variable transmission automatic transmission,none,without,1835x685x1085,,100,5.9,,-,,-,,"gray, white, blue, black, red, silver"
嘉陵 睿行 JL125T-19,5280,Jialing,pedal,,,single cylinder four stroke air-cooled  125cc,7.1,5.2/7500,,CVT continuously variable transmission automatic transmission,none,without,1820x660x1140,,102,6.9,,-,,-,,"white, blue, black, red"
嘉陵 Moon125,5580,Jialing,pedal,,,single cylinder four stroke air-cooled  125cc,7.1,5.2/7500,,CVT continuously variable transmission automatic transmission,none,without,1860x690x1100,,103,5.9,,-,,-,,"gray, white, blue, black, red"
嘉陵 悦来125,6880,Jialing,pedal,,Chongqing Jialing Jiapeng Industrial Co.,single cylinder four stroke air-cooled  125cc,7.1,5.2/7500,,CVT continuously variable transmission automatic transmission,-,-,1755x700x1060,,95,5.5,80,1.4,,350,for,"Clear Blue, Matte Black, Monet Grey, Aviation Blue, Golden Red, Lemon Yellow, Bean Paste Orange, Rose Pink"
嘉陵 巧乐,6980,Jialing,pedal,,Chongqing Jialing Jiapeng Industrial Co.,single cylinder four stroke air-cooled  125cc,7.1,5.2/7500,,CVT continuously variable transmission automatic transmission,,-,1895x680x1140,,105,5,80,1.4,,300,for,
嘉陵 领悦,7580,Jialing,pedal,,Chongqing Jialing Jiapeng Industrial Co.,single cylinder four stroke air-cooled  125cc,7.1,5.2/7500,,CVT continuously variable transmission automatic transmission,standard,-,1810x700x1100,750,105,8,80,2.1,,400,for,
嘉陵 天悦,7980,Jialing,pedal,,Chongqing Jialing Jiapeng Industrial Co.,single cylinder four stroke air-cooled  125cc,7.1,5.2/7500,,CVT continuously variable transmission automatic transmission,standard,-,1895x680x1140,750,105,6.8,80,-,,300,for,
嘉陵 美连达,7980,Jialing,pedal,,Chongqing Jialing Jiapeng Industrial Co.,single cylinder four stroke air-cooled  125cc,7.1,5.2/7500,,CVT continuously variable transmission automatic transmission,standard,-,1895x680x1140,750,105,5,80,2.1,,-,of,
嘉陵 睿鲨,8280,Jialing,pedal,,Chongqing Jialing Jiapeng Industrial Co.,single cylinder four stroke air-cooled  125cc,7.1,5.2/7500,,CVT continuously variable transmission automatic transmission,standard,-,1900x730x1200,750,106,8,80,-,,-,of,"Moon White Red, Star Moon White, Morning Mist Grey, Meilian Red, Fruit Green"
嘉陵 博雅,Currently no quotation available,Jialing,pedal,,,single cylinder four stroke  125cc,7.9,5.8/7500,,-,None,-,1865x690x1110,,99,5.5,85,1.8,,-,,
嘉陵 好生活 JL 110-7A,Currently no quotation available,Jialing,pedal,,,single cylinder four stroke air-cooled  125cc,7.1,5.2/,,,-,-,,,104,6.5,80,-,,-,,
嘉陵 好帅JL110-8A,3880,Jialing,bending beam,,,single cylinder four stroke  110cc,6.8,5/7500,,-,-,-,1900x675x1080,,100,0,80,-,,-,,
嘉陵 好彩 JL110-16A,4827,Jialing,bending beam,,,single cylinder  110cc,6.8,5/7500,,-,,-,1904x680x1118,,103,0,80,-,,-,,
嘉陵 好帅125 JL125-8,5380,Jialing,bending beam,,,single cylinder four stroke air-cooled  110cc,7.1,5.2/8000,,cycle 5-speed,none,without,1960x680x1160,,98,4,,-,,-,,"white, black, red"
嘉陵 好俊JL125-9,5547,Jialing,bending beam,,,single cylinder four stroke air-cooled  125cc,8.8,6.5/8500,,-,,-,1904x680x1118,,103,0,86,-,,-,,
嘉陵 JH600-A,6680,Jialing,bending beam,,,single cylinder four stroke air-cooled  125cc,8.6,6.3/7500,,cycle 4th gear,none,without,1950x680x1130,,116,4,85,1,,-,,
嘉陵 嘉陵70,33780,Jialing,tension,,,single cylinder four stroke water-cooled  600cc,40.8,30/6000,,-,None,-,2210x860x1330,790,210,19,150,3,,-,,
嘉陵 好悦 JL110-16,5280,Jialing,Retro,Domestic,,single cylinder four stroke air-cooled  70cc,4.8,3.5/8000,,cycle 5-speed,none,without,1870x770x990,,85,8,70,-,,-,,"military green, black"
嘉陵 铁悍JH125-7B,5280,Jialing,bending beam,,,single cylinder four stroke air-cooled  110cc,7.1,5.2/8000,,cycle 5-speed,none,without,1900x675x1080,,100,4,,-,,-,,
嘉陵 JH125E-6A,5426,Jialing,", street car,",,,125cc,10.3,7.6/8500,,-,-,-,2010x740x1110,,125,0,90,-,,-,,
嘉陵 金悍王JH150-7,6880,Jialing,", street car,",,,125cc,10.33,7.6/8500,,-,-,-,1975,,125,0,90,-,,-,,
嘉陵 金悍王SJH150-7,7447,Jialing,", street car,",,,single cylinder four stroke air-cooled  150cc,12.2,9/8500,,-,-,-,2010x735x1110,,125,0,95,-,,-,,
嘉陵 街火JH150-8,7533,Jialing,", street car,",,,single cylinder four stroke air-cooled  150cc,12.2,9/8500,,-,-,-,2010x735x1110,,125,0,98,2,,-,,
嘉陵 金悍王JH125-7C,7680,Jialing,", street car,",,,150cc,12.2,9/8500,,-,-,-,2020x770x1090,,136,0,95,-,,-,,
嘉陵 JV150 JH150-11,7680,Jialing,", street car,",,,125cc,10.6,7.8/8500,,-,,-,2010x735x1110,,125,0,95,-,,-,,
嘉陵 金悍JH125-7C,7880,Jialing,Retro,Domestic,,single cylinder four stroke air-cooled  150cc,12.2,9/8000,,cycle 5-speed,none,without,2050x770x1100,760,139,16,90,2.5,,-,,"blue, red"
嘉陵 新街火JH150-8A,8680,Jialing,", street car,",,,125cc,10.6,7.8/8500,,-,None,-,2010x735x1110,,125,0,95,-,,-,,
嘉陵 新街火JH200-8,9412,Jialing,", street car,",,,single cylinder four stroke air-cooled  149cc,12.24,9/8500,,5,None,-,2066,,131,0,98,2,,-,,
嘉陵 新翼侠JH200GY-5A,Currently no quotation available,Jialing,", street car,",,,single cylinder four stroke oil cooled  200cc,16.3,12/7500,,-,-,-,2066x753x1070,800,145,0,110,3,,-,,
嘉陵 翼狼2JH125-B,13120,Jialing,Off road,Domestic,,single cylinder four stroke air-cooled  200cc,16.7,12.3/7500,,-,-,-,2020x835x1130,,141,11,100,3,,-,,
嘉陵 翼狼JH125-G,5587,Jialing,", street car,",,,single cylinder four stroke air-cooled  125cc,9.9,7.3/8500,,-,-,-,2020x795x1035,,,0,90,2,,-,,
嘉陵 新独狼JH125-6A,5980,Jialing,", street car,",,,single cylinder four stroke air-cooled  125cc,10.3,7.6/8500,,-,-,-,2020x795x1035,,,0,90,-,,-,,
嘉陵 独狼JH125-C,6280,Jialing,", street car,",,,125cc,10.6,7.8/8500,,-,,-,2030x770x1080,,125,0,95,-,,-,,
嘉陵 独狼,6280,Jialing,", street car,",,,125cc,10.6,7.8/8500,,-,None,-,2020x795x1035,755,117,0,95,-,,-,,
嘉陵 新独狼JH150-6,6580,Jialing,Retro,Domestic,,single cylinder four stroke air-cooled  150cc,12.2,9/8500,,cycle 5-speed,none,without,2030x770x1080,,125,13,,-,,-,,
嘉陵 JH150-8B,6880,Jialing,", street car,",,,single cylinder four stroke air-cooled  150cc,12.2,9/,,-,-,-,2030x770x1080,,125,0,95,-,,-,,
MBP Feelink C150,Currently no quotation available,Jialing,", street car,",,,150cc,12.2,9/7500,,international 5-speed,,-,2053x752x1174,,149,15,,2.5,,-,,
MBP Feelink C150Mate,9980,MBP,pedal,,Chinese manufacturer Juneng Motorcycle Technology Co.,single cylinder four stroke water-cooled  150cc,13.2,9.7/8000,,CVT continuously variable transmission automatic transmission,standard,-,1910x690x1140,785,138,7,95,-,,-,,"nostalgic blue, novel green, longing for gold"
MBP Feelink C150 Iron,9980,MBP,pedal,,Chinese manufacturer Juneng Motorcycle Technology Co.,single cylinder four stroke water-cooled  150cc,13.6,10/8000,,CVT continuously variable transmission automatic transmission,standard,-,1950x715x1150,780,142,7,96,-,,-,of,"Mica Green, Knight Silver, Dawn White, Van Gogh Blue, Silk Grey"
MBP Feelink X,Currently no quotation available,MBP,pedal,,,single cylinder four stroke  150cc,,,,CVT continuously variable transmission automatic transmission,,-,,,,0,,-,,-,,"blue, white"
MBP Feelink S150,,MBP,pedal,,Ningbo Longjia Power Technology Co.,single cylinder four stroke water-cooled  150cc,12.9,9.5/8250,,CVT continuously variable transmission automatic transmission,standard,-,1930x810x1260,795,148,11.5,,-,,-,,
MBP Feelink U150,12180,MBP,pedal,,Chinese manufacturer Juneng Motorcycle Technology Co.,single cylinder four stroke water-cooled  150cc,15.0,11/8000,,CVT continuously variable transmission automatic transmission,standard,-,1975x760x1150,780,140,7.8,108,-,,-,of,
MBP Finder T250X,11980,MBP,pedal,,Chinese manufacturer Juneng Motorcycle Technology Co.,single cylinder four stroke water-cooled  150cc,13.2,9.7/8000,,CVT continuously variable transmission automatic transmission,standard,-,2050x695x1185,790,146,9.5,99,-,,-,of,"Earl Grey, Elegant Black, Roland White"
MBP F125,Currently no quotation available,MBP,tension,,,250cc,,,,-,-,-,,,,0,,-,,-,,
MBP N250R,Currently no quotation available,MBP,", street car,",,,4-stroke  125cc,,,,-,-,-,,,,0,,-,,-,,
MBP HYPE VOLT,Currently no quotation available,MBP,", street car,",,,250cc,,,,-,-,-,,,,0,,-,,-,,
MBP HYPE VISION,Currently no quotation available,MBP,pedal,,,,,,,,-,-,,,,,,,,-,,
MBP S01 Sport,Currently no quotation available,MBP,", street car,",,,,,,,,-,-,,,,,,,,-,,
MBP S01 Comfort,Currently no quotation available,MBP,", street car,",,,,,,,,-,-,,,,,,,,-,,
银钢 Racing 400,Currently no quotation available,MBP,Retro,Domestic,,,,,,,-,-,,,,,,,,-,,
银钢 船型边三YG150B-23,Currently no quotation available,silver,", sports car,",,,inline four cylinder four stroke water-cooled  400cc,,,,-,,-,,,,0,,-,,-,,
银钢 十字架YG150B-22,12606,silver,Three Wheel,Domestic,,single cylinder four stroke air-cooled  150cc,11.1,8.2/7000,,international 5-speed,none,-,1770x1470x1040,690,185,12.5,70,3.8,,-,,
银钢 巡逻者200,12800,silver,Three Wheel,Domestic,,single cylinder four stroke air-cooled  150cc,11.6,8.5/7000,,-,None,-,1790x1370x1050,600,180,12.5,70,-,,-,,
银钢 巡逻者150,16800,Silver,Three Wheel,Domestic,,single cylinder four stroke air-cooled  200cc,13.6,10/7000,,-,,-,1855x1455x1070,690,228,12.5,70,2.9,,600,,
银钢 鲸,17800,silver,Three Wheel,Domestic,,single cylinder four stroke air-cooled  150cc,10.6,7.8/7500,,international 5-speed,none,without,1855x1455x1070,690,204,12.5,70,4.3,,-,,
银钢 悍路者300,18800,silver,Three Wheel,Domestic,Chongqing Yingang Technology (Group) Co.,single cylinder four stroke air-cooled  150cc,10.6,7.8/7500,,forward 5-speed+1-speed reverse,,-,1750x1480x1035,705,203,12.5,70,-,,-,of,"Water colored sky, Ice pink rose, Atomic yellow, Radiant silver gray"
银钢 SUV500,26800,silver,Three Wheel,Domestic,,single cylinder four stroke water-cooled  300cc,25.2,18.5/8500,,forward 4th gear+reverse gear,none,standard,2100x1660x1080,780,268,16,75,3.8,,-,,Black and Gold
银钢 SUV500 Ⅱ,39800,silver,Three Wheel,Domestic,Chongqing Yingang Technology (Group) Co.,single cylinder four stroke water-cooled  450cc,40.8,30/8000,,forward 4th gear+reverse gear,none,standard,2200x1610x1140,820,312,16,95,5,,-,of,"Capri Blue, Cardinal Grey"
银钢 Ninety,43999,silver,Three Wheel,Domestic,Chongqing Yingang Technology (Group) Co.,inline dual cylinder four stroke water-cooled  450cc,46.2,34/,,-,,standard,2180x1630x1340,,334,20,128,-,,-,,
银钢 拿铁 200,10077,silver,Retro,Domestic,,single cylinder four stroke air-cooled  199cc,13.6,10/7000,,-,None,-,2050,780,136,12,98,-,,-,,
银钢 铁甲骑兵 200,11980,silver,Retro,Domestic,,single cylinder four stroke oil cooled  200cc,13.6,10/7000,,international 5-speed,none,standard,2050x750x1040,780,136,12,98,2.6,,-,,
银钢 拿铁 RTD250 Twin,12980,Silver,Retro,Domestic,,single cylinder four stroke oil cooled  200cc,13.6,10/7000,,international 5-speed,none,standard,2050x820x1130,770,141,12,98,2.6,,-,,
银钢 小怪兽125,14800,silver,Retro,Domestic,,inline dual cylinder four stroke oil cooled  250cc,15.6,11.5/8000,,international 6-speed,standard,-,2050x785x1120,800,158,16,105,3.6,,-,of,"gray, blue, black, red"
银钢 小怪兽150,7680,silver,MINI,Domestic,,single cylinder four stroke air-cooled  125cc,8.4,6.2/7500,,-,None,without,1780x775x1030,740,106,12,85,-,,-,,
银钢 YG200-3,10380,Silver,MINI,Domestic,Chongqing Yingang Technology (Group) Co.,single cylinder four stroke air-cooled  150cc,10.6,7.8/7500,,international 5-speed,standard,without,174x80x1010,750,118,9,105,2.1,,-,,"black, red"
银钢 大怪兽250,9980,silver,MINI,Domestic,,single cylinder four stroke air-cooled  199cc,,10/7000,,international 5-speed,,-,174x80x1010,790,118,9,95,2.9,,-,,
银钢 MINI 太子,12800,silver,", street car,",,,single cylinder four stroke oil cooled  250cc,17.7,13/8000,,international 6-speed,none,without,1980x830x1120,780,143,12,100,2.9,,-,,"red, white"
银钢 大MINI,7380,silver,", street car,",,,single cylinder four stroke air-cooled  150cc,11.6,8.5/8500,,cycle 5-speed,-,-,1785x770x1000,680,122,12.5,90,2.8,,-,,"Flame Red, Silent Army Green, Agate Black, Public Security White"
银钢 MINI复古,7980,Silver,", street car,",,,150cc,11.96,8.8/7000,,-,,-,1790,690,122,12.5,105,-,,-,,
银钢 Super Mini 150,8580,silver,MINI,Domestic,,single cylinder four stroke air-cooled  149cc,11.1,8.2/7000,,international 5-speed,none,without,1755x780x1040,680,124,12.5,90,2.2,,400,,"printed and dyed blue, military green, elephant gray, peacock blue"
银钢 蜜獾,8980,silver,MINI,Domestic,Chongqing Yingang Technology (Group) Co.,single cylinder four stroke air-cooled  150cc,11.1,8.2/7000,,international 5-speed,-,-,1755x780x1040,680,120,12.5,95,2.7,,-,of,"Peach Sky Pink, Gardenia Yellow, Sunlight Blue"
银钢 AT 150,9980,silver,MINI,Domestic,Chongqing Yingang Technology (Group) Co.,single cylinder four stroke air-cooled  150cc,10.6,7.8/7500,,international 5-speed,-,-,1755x750x1040,720,110,8,95,-,,-,of,
银钢 迷你 N150B,8980,silver,MINI,Domestic,,single cylinder four stroke air-cooled  150cc,10.9,8/7000,,CVT continuously variable transmission automatic transmission,-,-,1755x780x1040,680,122,12.5,90,-,,-,,
银钢 Game Master 500,8980,silver,MINI,Domestic,,single cylinder four stroke air-cooled  149cc,11.1,8.2/7000,,-,-,-,1800x780x1060,690,128,12.5,95,2.2,,-,,
银钢 山地王YG150-F,Currently no quotation available,silver,Cruising Crown Prince,Domestic,,inline dual cylinder four stroke water-cooled  500cc,42.8,31.5/,,international 6-speed,-,-,,,,0,,-,,-,,
银钢 山地王 摩旅版,6927,silver,", street car,",,,single cylinder four stroke air-cooled  150cc,11.6,8.5/8500,,-,-,-,2090x860x1070,760,132,18,90,-,,-,,
银钢 铁拳 TAKKEN,6980,silver,", street car,",,,single cylinder four stroke air-cooled  149cc,11.1,8.2/7000,,-,,standard,2090x860x1070,790,132,15,90,2.2,,-,,
银钢 铁拳 TR 250,12800,silver,tension,,,single cylinder four stroke oil cooled  250cc,17.7,13/8000,,international 6-speed,none,-,2040x838x1140,820,152,13,110,2.9,,-,,red and white color scheme
银钢 拖拖 YG175T-38,12800,silver,Retro,Domestic,,single cylinder four stroke oil cooled  250cc,17.7,13/8000,,-,None,standard,2030x860x1130,800,150,14,110,2.9,,-,,
银钢 小怪兽E,8880,silver,pedal,,,single cylinder four stroke air-cooled  175cc,9.2,6.8/6500,,CVT continuously variable transmission automatic transmission,none,-,1905x685x1135,750,113,6.8,90,2.8,,-,,
银钢 SEEVPAPA,5980,silver,MINI,Domestic,,,,,,,-,-,1780x775x1030,770,,,52,,,50,,
银钢 CG王 YG125-B,4588,silver,Three Wheel,Domestic,,,,,,,-,-,1550x680x1100,600,87,,25,,,50,,
银钢 银羊YG150-12A 普通版,2980,Silver,", street car,",,,single cylinder four stroke air-cooled  125cc,9.93,7.3/9000,,-,-,-,1900,,103,11,85,2,,-,,
银钢 新瑞虎YG125-20A,4280,silver,", street car,",,,single cylinder four stroke air-cooled  150cc,11.6,8.5/8500,,-,-,-,2025x765x1045,770,124,13,90,-,,-,,
银钢 吉虎YG150-12A,4680,Silver,", street car,",,,single cylinder four stroke air-cooled  125cc,12.2,9/8500,,-,-,-,2070x760x1130,785,126,13,85,-,,-,,
银钢 银羊YG150-12A,5345,silver,", street car,",,,single cylinder four stroke air-cooled  150cc,11.6,8.5/8500,,-,-,-,2025x765x1045,770,124,13,90,-,,-,,
银钢 银羊YG150-12A,5390,Silver,", street car,",,,single cylinder four stroke air-cooled  150cc,9.9,7.3/9000,,-,-,-,2025x765x1045,770,124,13,85,-,,-,,
银钢 R8 YG125-7B,5390,Silver,", street car,",,,single cylinder four stroke air-cooled  150cc,9.9,7.3/9000,,-,-,-,2025x765x1045,770,124,13,85,-,,-,,
银钢 银羊YG125-2F 普通型,6180,silver,", street car,",,,single cylinder four stroke air-cooled  125cc,12.0,8.8/8500,,-,-,-,2020x770x1110,780,122,12,90,-,,-,,
银钢 征服者YG150-NF,6380,silver,", street car,",,,single cylinder four stroke air-cooled  125cc,9.9,7.3/9000,,-,-,-,2025x765x1045,770,124,13,,-,,-,,
银钢 独角兽YG250-NF,6960,silver,", street car,",,,single cylinder four stroke air-cooled  150cc,12.0,8.8/7000,,-,-,-,2010x750x1070,790,132,17,90,-,,-,,
银钢 X战警 YG150GY-2A,16800,Silver,", street car,",,,single cylinder four stroke water-cooled  250cc,25.2,18.5/8500,,-,-,-,2010x770x1095,780,166,16,125,-,,-,,
